Country_or_region,Highest_point,Maximum_elevation,Lowest_point,Minimum_elevation,Elevation_span
Bhutan,Gangkhar Puensum,"7570 m24,836 ft",Drangme Chhu,97 m318 ft,"7473 m24,518 ft"
Bir Tawil,Gabal Hagar El Zarqa,"662 m2,172 ft",[data missing],,
Bolivia,Sajama,"6542 m21,463 ft",Paraguay River,90 m295 ft,"6452 m21,168 ft"
Bosnia and Herzegovina,Maglić,"2386 m7,828 ft",Adriatic Sea,sea level,"2386 m7,828 ft"
Botswana,Otse Hill,"1491 m4,892 ft",Confluence of Limpopo River and Shashe River,"513 m1,683 ft","978 m3,209 ft"
Bouvet Island,Olavtoppen,"935 m3,068 ft",South Atlantic Ocean,sea level,"935 m3,068 ft"
Brazil,Pico da Neblina,"2995 m9,826 ft[4]",Atlantic Ocean,sea level,"2995 m9,826 ft"
British Indian Ocean Territory,Unnamed location on Diego Garcia,15 m49 ft,Indian Ocean,sea level,15 m49 ft
Brunei,Bukit Pagon,"1850 m6,070 ft",South China Sea,sea level,"1850 m6,070 ft"
Bulgaria,Musala,"2925 m9,596 ft",Black Sea,sea level,"2925 m9,596 ft"
Burkina Faso,Mount Tenakourou,"749 m2,457 ft",Black Volta,200 m656 ft,"549 m1,801 ft"
Burundi,Mount Heha,"2684 m8,806 ft",Lake Tanganyika,"772 m2,533 ft","1912 m6,273 ft"
Cambodia,Phnom Aural,"1810 m5,938 ft",Gulf of Thailand,sea level,"1810 m5,938 ft"
